year,month,email,account name,balance,net flow
2017,5,user1@mail.ru,Российские акции,600000,600000
2017,5,user1@mail.ru,В ИИС,,
2017,6,user1@mail.ru,Российские акции,700000,50000
2017,6,user1@mail.ru,В ИИС,,
2017,7,user1@mail.ru,Российские акции,720000,0
2017,7,user1@mail.ru,В ИИС,,
2017,8,user1@mail.ru,Российские акции,780000,40000
2017,8,user1@mail.ru,В ИИС,,
2017,9,user1@mail.ru,Российские акции,828000,50000
2017,9,user1@mail.ru,В ИИС,,
2017,10,user1@mail.ru,Российские акции,863000,30000
2017,10,user1@mail.ru,В ИИС,,
2017,11,user1@mail.ru,Российские акции,859000,0
2017,11,user1@mail.ru,В ИИС,378000,380000
2017,12,user1@mail.ru,Российские акции,1041000,200000
2017,12,user1@mail.ru,В ИИС,371000,0
2018,1,user1@mail.ru,Российские акции,1253000,200000
2018,1,user1@mail.ru,Единый спекуль,,
2018,1,user1@mail.ru,В ИИС,383000,0
2018,2,user1@mail.ru,Российские акции,1728000,450000
2018,2,user1@mail.ru,Единый спекуль,,
2018,2,user1@mail.ru,В ИИС,379000,0
2018,3,user1@mail.ru,Российские акции,1596000,255000
2018,3,user1@mail.ru,Единый спекуль,380000,
2018,3,user1@mail.ru,В ИИС,463000,70000
2018,4,user1@mail.ru,Российские акции,1530000,-70000
2018,4,user1@mail.ru,Единый спекуль,558000,120000
2018,4,user1@mail.ru,В ИИС,478000,
2018,5,user1@mail.ru,Российские акции,1670000,150000
2018,5,user1@mail.ru,Единый спекуль,583000,
2018,5,user1@mail.ru,В ИИС,490000,
2018,6,user1@mail.ru,Российские акции,1850000,190000
2018,6,user1@mail.ru,Единый спекуль,609000,10000
2018,6,user1@mail.ru,В ИИС,496000,50000
2018,7,user1@mail.ru,Российские акции,1786000,-85000
2018,7,user1@mail.ru,Единый спекуль,650000,65000
2018,7,user1@mail.ru,В ИИС,505000,70000
2018,8,user1@mail.ru,Российские акции,2043000,230000
2018,8,user1@mail.ru,Единый спекуль,800000,70000
2018,8,user1@mail.ru,В ИИС,710000,
2018,9,user1@mail.ru,Российские акции,2144000,50000
2018,9,user1@mail.ru,Единый спекуль,799000,50000
2018,9,user1@mail.ru,В ИИС,628000,
2018,10,user1@mail.ru,Российские акции,1987000,-120000
2018,10,user1@mail.ru,Единый спекуль,773000,150000
2018,10,user1@mail.ru,В ИИС,838000,
2018,11,user1@mail.ru,Российские акции,1448000,-600000
2018,11,user1@mail.ru,Единый спекуль,868000,100000
2018,11,user1@mail.ru,В ИИС,1069000,110000
2018,12,user1@mail.ru,Российские акции,1401000,-50000
2018,12,user1@mail.ru,Единый спекуль,897000,
2018,12,user1@mail.ru,В ИИС,1161000,100000
2019,1,user1@mail.ru,Н ИИС,878000,878000
2020,1,user1@mail.ru,Н ИИС,1431000,
2021,1,user1@mail.ru,Н ИИС,2248000,
2022,1,user1@mail.ru,Н ИИС,2894000,
2023,1,user1@mail.ru,Н ИИС,2299000,
2024,1,user1@mail.ru,Н ИИС,3280000,
2025,1,user1@mail.ru,Н ИИС,3397000,
2019,2,user1@mail.ru,Н ИИС,881000,
2020,2,user1@mail.ru,Н ИИС,1410000,
2021,2,user1@mail.ru,Н ИИС,2288000,
2022,2,user1@mail.ru,Н ИИС,2782000,
2023,2,user1@mail.ru,Н ИИС,2387000,
2024,2,user1@mail.ru,Н ИИС,3321000,
2025,2,user1@mail.ru,Н ИИС,3373000,
2019,3,user1@mail.ru,Н ИИС,884000,
2020,3,user1@mail.ru,Н ИИС,1499000,
2021,3,user1@mail.ru,Н ИИС,2391000,
2022,3,user1@mail.ru,Н ИИС,2872000,
2023,3,user1@mail.ru,Н ИИС,2562000,
2024,3,user1@mail.ru,Н ИИС,3342000,
2025,3,user1@mail.ru,Н ИИС,3410000,
2019,4,user1@mail.ru,Н ИИС,872000,
2020,4,user1@mail.ru,Н ИИС,1542000,
2021,4,user1@mail.ru,Н ИИС,2414000,
2022,4,user1@mail.ru,Н ИИС,2421000,
2023,4,user1@mail.ru,Н ИИС,2653000,
2024,4,user1@mail.ru,Н ИИС,3386000,
2025,4,user1@mail.ru,Н ИИС,3284000,
